Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2010-09-09,9.395357131958008,63.43999862670898,34.08000183105469,126.36000061035156,29.145000457763672,24.01000022888184,Thursday,3
2010-09-10,9.407500267028809,63.84000015258789,34.150001525878906,127.98999786376952,29.26000022888184,23.850000381469727,Friday,3
2010-09-13,9.537142753601074,64.19000244140625,34.27000045776367,129.61000061035156,29.01499938964844,25.11000061035156,Monday,3
2010-09-14,9.57357120513916,62.7599983215332,34.04999923706055,128.85000610351562,28.795000076293945,25.030000686645508,Tuesday,3
2010-09-15,9.650713920593262,62.72999954223633,34.209999084472656,129.42999267578125,28.709999084472656,25.1200008392334,Wednesday,3
2010-09-16,9.8774995803833,62.58000183105469,34.16999816894531,129.6699981689453,28.7549991607666,25.32999992370605,Thursday,3
2010-09-17,9.83464241027832,62.95000076293945,34.560001373291016,130.19000244140625,28.780000686645508,25.21999931335449,Friday,3
2010-09-20,10.115357398986816,63.720001220703125,34.900001525878906,131.7899932861328,28.98500061035156,25.43000030517578,Monday,3
2010-09-21,10.134642601013184,64.2300033569336,34.5,131.97999572753906,29.05500030517578,25.149999618530277,Tuesday,3
2010-09-22,10.276785850524902,63.900001525878906,33.9900016784668,132.57000732421875,29.114999771118164,24.61000061035156,Wednesday,3
2010-09-23,10.318571090698242,62.650001525878906,33.119998931884766,131.6699981689453,28.934999465942383,24.43000030517578,Thursday,3
2010-09-24,10.4399995803833,64.5999984741211,33.58000183105469,134.11000061035156,29.309999465942383,24.780000686645508,Friday,3
2010-09-27,10.398571014404297,63.88999938964844,33.290000915527344,134.64999389648438,29.299999237060547,24.729999542236328,Monday,3
2010-09-28,10.244999885559082,64.5199966430664,33.220001220703125,134.88999938964844,29.549999237060547,24.68000030517578,Tuesday,3
2010-09-29,10.263214111328123,65.97000122070312,33.0099983215332,135.47999572753906,29.3799991607666,24.5,Wednesday,3
2010-09-30,10.133928298950195,66.54000091552734,33.099998474121094,134.13999938964844,29.26000022888184,24.489999771118164,Thursday,3
2010-10-01,10.09000015258789,66.83000183105469,33.34000015258789,135.63999938964844,29.559999465942383,24.3799991607666,Friday,4
2010-10-04,9.951428413391112,66.33000183105469,33.13999938964844,135.25,29.440000534057617,23.90999984741211,Monday,4
